epoch,train_loss,val_mean_iou,val_accuracy,rac_loss,mrc_loss,att_reg_loss,w_adw,w_odw,bbox_loss
1,1.3614894875974366,0.25694119540203897,0.1336960746210649,15.78847982449965,0.004156189630395712,0.3263700579039075,1.0808161153109719,1.0982648648926105,0.8713641449357524
2,1.2809522249933445,0.2827863612697063,0.14613291877186163,14.461821676023078,0.006241340256846425,0.30138055240791856,1.0747379428121528,1.0982628800670164,0.8295238152146339
3,1.2442141609661508,0.2978909089370441,0.16906335017489313,13.873522215901,0.008026687655188708,0.29115978768377593,1.0722427147318816,1.0982640299128044,0.8089372084447832
4,1.2164549694368334,0.29905437718466243,0.16750874465604354,13.596149307308774,0.009100413250835668,0.2865728421080293,1.071117079838368,1.0982635992983483,0.7900868141741464
5,1.1810664384654075,0.3338274991609774,0.24329576369996114,13.33020980647116,0.009830393423820197,0.2818754855204712,1.0699668161974236,1.0982640216826762,0.7647870803872744
6,1.15604341901613,0.3473652678371175,0.27555382821609015,13.127516891378345,0.010201240514729624,0.278109742543011,1.0690442455787683,1.0982627349917604,0.7473422725995381
7,1.1328786665743047,0.36838518152039845,0.30003886513797123,12.921565714026942,0.01063351514078959,0.2743389320531578,1.068120342389029,1.0982633374878457,0.7314656822067318
8,1.0943823534430879,0.37142899970293625,0.3113097551496308,12.589316712003766,0.011840811816298149,0.2687656367705627,1.0667535923716795,1.098263239715505,0.7042788269844922
9,1.0712427314935309,0.38738413782702763,0.35056354450058297,12.332878908244046,0.012932849027018882,0.2646242498561288,1.065732326088636,1.0982616516971464,0.6887233351216172
10,1.05051521153161,0.3996026972208311,0.3696074621064905,12.096867596741879,0.014016528215583865,0.26089137241695864,1.0648198489175502,1.0982635870511317,0.6747935577323942
11,1.0306120441718536,0.3995219779810777,0.3785464438398756,11.882691550254822,0.014831243771495242,0.2573351476341486,1.0639464849734301,1.0982616124669935,0.6613963854809602
12,1.0118469525467266,0.41237715546334824,0.39020598523124755,11.653472851984429,0.015267316318314635,0.253093287805942,1.0629035039401122,1.0982571213744925,0.6495921671616308
13,0.9964795142412186,0.4179155663779274,0.4181888845705402,11.47157717040091,0.016438707465193037,0.2505525225378347,1.062275456053584,1.098264692601921,0.638951151772882
14,0.9819249174811623,0.4092524067742026,0.38515351729498637,11.313249883507238,0.01686009902464734,0.24774274486258174,1.0615855142023414,1.0982611730655096,0.6293173629903432
15,0.9756376382076379,0.4184334926978456,0.4088612514574427,11.240457102024195,0.017340395626414453,0.24673747455306125,1.0613393042815356,1.098263597974898,0.6249387460901882
16,0.964997193939758,0.42688455955425186,0.4372328021764477,11.157989085804333,0.017409994463774968,0.2451240529278011,1.060943120654587,1.0982608811116665,0.6173904877720457
17,0.9566255463343678,0.442839687697378,0.46793626117372716,11.061112993413753,0.018033151438276312,0.24377014659570925,1.0606069678307566,1.0982621018427894,0.6115268609966292
18,0.9482556837074685,0.4250941086724433,0.4205207928488146,10.974996477184874,0.018155056657975146,0.24213457188823007,1.0602049898780666,1.0982611232856236,0.6060108451454929
19,0.936502941223708,0.4458413750374641,0.4745433346288379,10.851284597859237,0.018926575293087146,0.24038135814621592,1.059773787886989,1.0982602149490461,0.5976869230243292
20,0.9268146489605759,0.4466555514581917,0.46638165565487755,10.723345073786648,0.01926040667758295,0.2381041790951382,1.05921270386869,1.0982633094531498,0.5916218915897788
21,0.9230632970730464,0.42091142979160595,0.420909444228527,10.679788848848053,0.019196546438262997,0.23715141654917687,1.0589790409072493,1.098263059400234,0.5893914534512794
22,0.9182705448883952,0.44147964214590035,0.4593859308200544,10.67379262338985,0.01937714595855637,0.2372096435251561,1.0589927286515661,1.0982673439713042,0.5851559559729966
23,0.9075000328096476,0.45695946806611215,0.4768752429071123,10.536477330959205,0.019526923987591132,0.2345570690817002,1.0583373703459453,1.0982612022040676,0.5785329930032744
24,0.9029900502977949,0.44106415938696847,0.4597745821997668,10.492904911258004,0.019836961552077398,0.23397787343146223,1.058195298721348,1.0982642226298607,0.5752482371799874
25,0.911254719170657,0.44992257895890525,0.48581422464049745,10.628729310180201,0.019903095566074957,0.23681593398478898,1.0588933278897386,1.098265209845865,0.5795030638575553
26,0.8910287697206843,0.4550515518476155,0.4799844539448115,10.417156449231234,0.01950619666780712,0.23210122122457533,1.0577328045415657,1.0982618102254391,0.5668520171985482
27,0.9044147814313571,0.444411293183335,0.46560435289545277,10.5507731293187,0.020607322606145208,0.23592921839744757,1.0586752728394304,1.098261342905237,0.574512325859431
28,0.8749798063979004,0.4426947334863143,0.464827050136028,10.210985897165356,0.02014860516752709,0.22853606763211162,1.0568530020670623,1.098262912069811,0.5565516161421935
29,0.8756669712789131,0.4433149990952891,0.46910221531286433,10.228833817713188,0.020308736646124585,0.22906044279084062,1.0569814262823147,1.098262489334212,0.5565637440844016
30,0.8795990367730459,0.45177086665287103,0.49164399533618347,10.279394228169412,0.020486557888657306,0.2302701090998722,1.0572784179148196,1.0982624464052395,0.5587319141310273
31,0.862198756499724,0.45051005707181474,0.49280994947532064,10.072588221593337,0.02098545002553499,0.22654847023500638,1.0563654521370696,1.09826496085507,0.5475113034699902
32,0.8689562588027029,0.44261026343368204,0.4764865915273999,10.126668708613424,0.02158445884177292,0.22825116241971652,1.0567836010770149,1.0982648825900145,0.5516303172843022
